Ano,Mes,NumeroTransacoesPIX,ValorTotalPIX,NumeroTransacoesTED,ValorTotalTED,NumeroTransacoesTEC,ValorTotalTEC,NumeroTransacoesCheque,ValorTotalCheque,NumeroTransacoesBoleto,ValorTotalBoleto,NumeroTransacoesDOC,ValorTotalDOC,porcentualMudancaPix,porcentualMudancaTED
2024,5,5228826.97,2137205.79,69023.11,3482036.97,0.0,0.0,10467.85,40133.55,349180.92,506302.82,0.0,0.0,,
2024,4,4924681.0,2083746.68,70647.15,3652606.48,0.0,0.0,11179.22,43295.4,361633.28,524619.69,0.0,0.0,-2.5013552859596166,4.898555399312721
2024,3,4903392.34,1936188.21,67565.05,3333054.27,0.0,0.0,10122.46,36644.55,336435.46,469047.59,0.0,0.0,-7.081401564608614,-8.74860765181581
2024,2,4367133.78,1718217.65,65805.87,2981226.45,60.01,109.32,10373.38,37076.26,332269.47,463066.01,61.89,34.21,-11.257715488309895,-10.55571831418154
2024,1,4371541.99,1818473.97,70343.25,3337344.85,387.18,815.94,11919.12,41615.89,363550.32,516702.44,600.76,616.58,5.834902231390782,11.945365639701745
2023,12,4804459.1,1933836.67,80202.26,3629758.88,1152.37,2498.31,11241.91,39208.22,337552.05,484391.91,1412.03,1399.42,6.3439291352627825,8.761876376065825
2023,11,4231283.46,1740874.02,74398.37,3135994.81,754.56,1711.45,11866.27,40735.16,345234.36,490503.75,1506.38,1521.77,-9.978228926644562,-13.603219561515335
2023,10,4069683.33,1666062.39,71870.52,3325168.12,664.92,1578.12,12902.42,46646.9,362721.59,512336.66,1746.38,1763.79,-4.297360356954494,6.032322164461745
2023,9,3846749.03,1539042.27,69407.76,3190049.86,483.31,1085.19,11916.38,41653.43,340115.13,471176.87,2636.88,2532.14,-7.623971392812001,-4.063501607251075
2023,8,3767327.85,1529362.91,76572.58,3406864.68,614.09,1481.22,13113.98,46973.84,360865.3,501254.74,5253.95,3197.77,-0.6289209977319299,6.79659658987275
2023,7,3532968.05,1422663.64,71737.31,3363337.34,667.68,1589.98,12782.7,43634.75,353354.67,479276.62,4722.99,4401.98,-6.976713591151496,-1.2776363045919448
2023,6,3296756.82,1365737.17,73637.38,3658988.12,710.66,1683.4,12898.39,44354.61,348653.58,475375.14,3810.8,4006.27,-4.001400499699281,8.790399240773162
2023,5,3189216.58,1343030.27,75894.99,3763925.98,620.33,1492.52,14171.91,50982.54,366029.09,509111.41,4139.19,4971.97,-1.6626112621654698,2.8679475461100834
